Timestamp,Number of Flights,Weather Conditions,Traffic Conditions,Distance between Pick-up and Drop-off,Number of Passengers,ETR Prediction,Wait Time Class
2023-01-01 00:00:00,7,Rainy,Light,3.446132412265143,4,16.743348370776005,0
2023-01-01 00:05:00,7,Rainy,Heavy,13.13563840054956,2,47.21097372006056,0
2023-01-01 00:10:00,2,Rainy,Heavy,11.913358937814179,2,32.99867791951189,1
2023-01-01 00:15:00,7,Clear,Heavy,6.587315320197374,2,53.40328785726814,1
2023-01-01 00:20:00,9,Snowy,Heavy,19.191106521033102,3,23.008748099037344,1
2023-01-01 00:25:00,3,Cloudy,Moderate,19.123245812503626,4,42.77388627206601,1
2023-01-01 00:30:00,4,Snowy,Moderate,16.19455283494905,3,8.062857675371415,0
2023-01-01 00:35:00,5,Clear,Light,12.180485793532439,3,40.12735500224225,1
2023-01-01 00:40:00,3,Rainy,Moderate,16.31435007101281,3,10.935031050819333,1
2023-01-01 00:45:00,7,Clear,Moderate,5.712228507173666,1,55.39166272999286,0
2023-01-01 00:50:00,4,Cloudy,Heavy,2.759606932839273,4,34.30034539701272,0
2023-01-01 00:55:00,9,Cloudy,Moderate,19.336796275842914,4,11.176519522306588,1
2023-01-01 01:00:00,1,Cloudy,Heavy,11.170013279058859,4,52.411462126506315,0
2023-01-01 01:05:00,1,Snowy,Heavy,11.313575045182516,2,5.408660003204307,1
2023-01-01 01:10:00,4,Snowy,Moderate,3.6202017384933605,2,44.317733055215335,1
2023-01-01 01:15:00,3,Snowy,Heavy,19.788554105108933,4,15.898452473411469,1
2023-01-01 01:20:00,8,Rainy,Moderate,18.484327241338587,3,20.060248207059985,0
2023-01-01 01:25:00,3,Snowy,Light,4.088078524301922,5,12.691491614406523,0
2023-01-01 01:30:00,5,Snowy,Light,11.241652910149794,3,5.491019591078263,1
2023-01-01 01:35:00,7,Snowy,Light,15.235433550470256,4,34.606589081639626,1
2023-01-01 01:40:00,7,Rainy,Light,1.590568494119995,3,36.446591370852985,1
2023-01-01 01:45:00,8,Cloudy,Moderate,18.332211850302997,5,51.13457570379593,1
2023-01-01 01:50:00,8,Rainy,Moderate,2.0084024339226936,1,19.071392440670948,1
2023-01-01 01:55:00,3,Rainy,Heavy,4.854431489006808,5,32.34324398030059,0
2023-01-01 02:00:00,9,Rainy,Light,12.908355733003669,2,41.62140247385364,1
2023-01-01 02:05:00,3,Snowy,Moderate,12.464262689676048,5,32.62895025881889,0
2023-01-01 02:10:00,6,Snowy,Moderate,11.65664994519286,2,49.647312497511216,0
2023-01-01 02:15:00,8,Snowy,Heavy,9.099059560531137,2,44.31684617121009,0
2023-01-01 02:20:00,9,Clear,Light,13.830692284115374,1,39.0212495885566,1
2023-01-01 02:25:00,7,Clear,Moderate,16.737465610398324,1,55.07870659555862,0
2023-01-01 02:30:00,2,Rainy,Heavy,8.86038753913995,5,10.901123162184282,1
2023-01-01 02:35:00,1,Cloudy,Heavy,9.09150245490894,3,50.220014121543805,1
2023-01-01 02:40:00,4,Rainy,Heavy,2.1657068657207965,1,32.30660869089632,0
2023-01-01 02:45:00,3,Rainy,Moderate,19.42974644715666,4,25.69747245712323,0
2023-01-01 02:50:00,9,Snowy,Moderate,14.532630702189403,1,52.37704260295516,1
2023-01-01 02:55:00,9,Snowy,Moderate,5.811389761104042,2,31.356930890922648,1
2023-01-01 03:00:00,1,Clear,Moderate,10.021645297964966,3,56.20324344283565,1
2023-01-01 03:05:00,1,Cloudy,Heavy,10.431196889590774,3,28.961533506901347,0
2023-01-01 03:10:00,3,Cloudy,Light,5.514836093609235,5,33.38500022299907,1
2023-01-01 03:15:00,1,Clear,Moderate,13.921450114574467,1,17.805912469343035,0
2023-01-01 03:20:00,2,Rainy,Heavy,3.442853616525711,5,9.404285100206444,1
2023-01-01 03:25:00,6,Cloudy,Heavy,7.414563588430312,3,49.361436913892796,0
2023-01-01 03:30:00,1,Snowy,Moderate,8.516184074262409,4,35.84467942805443,1
2023-01-01 03:35:00,4,Rainy,Moderate,7.534096984349402,4,51.60905947692933,0
2023-01-01 03:40:00,8,Rainy,Heavy,15.404183743119509,4,57.50159521222676,0
2023-01-01 03:45:00,6,Cloudy,Heavy,13.549512808641087,2,37.219507551351036,1
2023-01-01 03:50:00,3,Rainy,Heavy,17.638041544505963,1,33.454048278633586,1
2023-01-01 03:55:00,8,Snowy,Heavy,10.426239653162568,4,12.18029419935313,1
2023-01-01 04:00:00,3,Clear,Moderate,8.58705786691022,2,12.596518042046938,0
2023-01-01 04:05:00,8,Cloudy,Heavy,1.1980449650406368,4,44.68868340428032,1
